name,isSafe,isPE,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics
2042,0,1,1,0,0,3.80417300806615,7.73178180231147,332,4,1344542973,0,0,224,271
5199,0,1,1,0,0,4.074325254803732,7.777380539474552,332,4,1332407685,0,0,224,271
5614,0,1,1,0,0,5.9627876353655305,7.922047102082388,332,4,1343676558,0,0,224,271
5016,0,1,1,0,0,3.9513671822040215,7.731401096914192,332,4,1344755412,0,0,224,271
4493,0,1,1,0,0,3.6870464171215565,7.761530810882083,332,3,1385983970,0,0,224,14
4836,0,1,0,0,0,2.5972473294727156,6.6443635434325525,332,5,1333758254,0,0,224,8450
4219,0,1,1,0,0,1.637573243366441,7.63801050580354,332,4,1333049654,0,0,224,271
1805,0,1,0,0,0,2.608004526368183,6.643807595934541,332,5,1333755894,0,0,224,8450
2807,0,1,0,4,0,0.16032872589902852,7.079592000788801,332,8,1334721629,0,0,224,270
6223,0,1,1,0,0,4.210414460260621,7.847745174951011,332,4,1335515320,0,0,224,271
6850,0,1,1,0,0,6.639821499404141,7.68685146555805,332,4,1333306647,0,0,224,271
4733,0,1,1,0,0,0.7080048444622447,7.904980019042509,332,4,1343908395,0,0,224,271
2312,0,1,1,1,0,2.7344265542793975,7.776165868795523,332,4,1337382184,0,0,224,258
408,0,1,0,5,0,0.16032872589902852,7.080744105200761,332,9,1335121285,0,0,224,270
4158,0,1,1,1,1,3.9837350453792273,7.823374051745347,332,5,1335725530,0,0,224,271
6395,0,1,1,1,0,0.28905215975583576,7.988349917984691,332,6,1276584735,0,0,224,258
5703,1,1,0,4,1,0.0591785458562076,5.931514328541723,34404,11,8304672,67584,204,240,39
4115,0,1,1,1,0,0.26702871144931534,7.987618978352513,332,6,1212817991,0,0,224,258
878,0,1,1,0,0,3.816399394457816,7.769180144952829,332,4,1332535995,0,0,224,271
2586,0,1,0,0,0,4.370712756731253,6.967395893586241,332,4,1334134908,0,0,224,270
858,0,1,0,0,0,0.020393135236084953,6.827040738818357,332,4,1302385015,0,0,224,258
6782,0,1,0,0,0,2.603249766552706,6.665718516794088,332,5,1334668393,0,0,224,8450
3980,0,1,1,0,0,4.32496077608363,7.889471634436037,332,4,1332087689,0,0,224,271
5081,0,1,1,0,0,0.7123450094062346,7.9036805693439725,332,4,1343978785,0,0,224,271
2818,0,1,1,0,0,0.020393135236084953,7.860215489625856,332,4,1296673258,0,0,224,258
6248,1,1,0,0,0,3.6290023636520785,6.631117219199174,332,4,1269962822,0,0,224,258
3883,0,1,1,0,0,6.618501198462823,7.852569057134869,332,4,1331642813,0,0,224,271
310,0,1,0,0,0,2.609384366509552,6.674702571784401,332,5,1334932159,0,0,224,8450
2708,0,1,1,0,0,6.596995439004987,7.873350499099277,332,4,1333570409,0,0,224,271
4813,0,1,1,0,0,4.206686935448474,7.864262196622788,332,4,1335379208,0,0,224,271
6555,0,1,1,0,0,3.646835505920968,7.897076321034843,332,4,1334989131,0,0,224,271
2936,0,1,1,0,0,2.6560699929999774,7.63907545559655,332,4,1333049649,0,0,224,271
1551,0,1,1,0,0,6.62569525957908,7.697678731877063,332,4,1333528845,0,0,224,271
